ФИО,Факультет,Ученое звание,Ученая степень
Смирнова А.А.,ФИиВТ,доцент,доктор наук
Смирнова А.А.,ЮФ,профессор,без степени
Морозов М.М.,ФИиВТ,профессор,доктор наук
Кузнецов К.К.,ЮФ,доцент,кандидат наук
Смирнова А.А.,ГФ,старший преподаватель,доктор наук
Иванов И.И.,ФИиВТ,старший преподаватель,доктор наук
Морозов М.М.,ИЭиУ,старший преподаватель,кандидат наук
Иванов И.И.,ГФ,ассистент,кандидат наук
Волков В.В.,ИЭиУ,старший преподаватель,кандидат наук
Морозов М.М.,ИЭиУ,ассистент,доктор наук
Морозов М.М.,ЮФ,старший преподаватель,доктор наук
Михайлов М.М.,ЕМФ,доцент,кандидат наук
Сидоров С.С.,ФИиВТ,профессор,без степени
Михайлов М.М.,ЕМФ,доцент,без степени
Петров П.П.,ФИиВТ,доцент,без степени
Кузнецов К.К.,ЕМФ,старший преподаватель,кандидат наук
Морозов М.М.,ЕМФ,ассистент,без степени
Михайлов М.М.,ИЭиУ,доцент,без степени
Кузнецов К.К.,ГФ,ассистент,без степени
Волков В.В.,ГФ,старший преподаватель,доктор наук
Васильева В.В.,ЮФ,доцент,без степени
Морозов М.М.,ИЭиУ,ассистент,кандидат наук
Морозов М.М.,ФИиВТ,доцент,доктор наук
Волков В.В.,ЕМФ,доцент,без степени
Михайлов М.М.,ГФ,доцент,доктор наук
Морозов М.М.,ИЭиУ,профессор,без степени
Сидоров С.С.,ЮФ,старший преподаватель,кандидат наук
Сидоров С.С.,ЮФ,старший преподаватель,без степени
Васильева В.В.,ИЭиУ,старший преподаватель,доктор наук
Иванов И.И.,ФИиВТ,старший преподаватель,кандидат наук
Михайлов М.М.,ФИиВТ,старший преподаватель,без степени
Федорова Ф.Ф.,ИЭиУ,старший преподаватель,доктор наук
Морозов М.М.,ЮФ,доцент,доктор наук
Смирнова А.А.,ЕМФ,доцент,без степени
Смирнова А.А.,ЕМФ,ассистент,без степени
Петров П.П.,ГФ,ассистент,кандидат наук
Смирнова А.А.,ЕМФ,доцент,доктор наук
Сидоров С.С.,ЕМФ,доцент,кандидат наук
Михайлов М.М.,ИЭиУ,профессор,без степени
Сидоров С.С.,ФИиВТ,профессор,доктор наук
Васильева В.В.,ГФ,старший преподаватель,доктор наук
Волков В.В.,ЮФ,ассистент,кандидат наук
Петров П.П.,ГФ,доцент,кандидат наук
Иванов И.И.,ФИиВТ,профессор,кандидат наук
Волков В.В.,ЮФ,ассистент,кандидат наук
Васильева В.В.,ЮФ,ассистент,без степени
Волков В.В.,ГФ,старший преподаватель,доктор наук
Михайлов М.М.,ФИиВТ,профессор,без степени
Волков В.В.,ЮФ,ассистент,кандидат наук
Петров П.П.,ЕМФ,ассистент,без степени
Смирнова А.А.,ГФ,ассистент,кандидат наук
Морозов М.М.,ЮФ,старший преподаватель,без степени
Иванов И.И.,ФИиВТ,ассистент,доктор наук
Кузнецов К.К.,ИЭиУ,профессор,доктор наук
Смирнова А.А.,ЕМФ,ассистент,без степени
Морозов М.М.,ГФ,ассистент,без степени
Кузнецов К.К.,ГФ,доцент,доктор наук
Сидоров С.С.,ЕМФ,старший преподаватель,доктор наук
Федорова Ф.Ф.,ЮФ,доцент,кандидат наук
Сидоров С.С.,ИЭиУ,доцент,доктор наук
Иванов И.И.,ЮФ,ассистент,кандидат наук
Васильева В.В.,ГФ,доцент,без степени
Иванов И.И.,ФИиВТ,ассистент,без степени
Васильева В.В.,ЕМФ,доцент,доктор наук
Сидоров С.С.,ФИиВТ,старший преподаватель,доктор наук
Михайлов М.М.,ИЭиУ,доцент,доктор наук
Васильева В.В.,ЕМФ,профессор,кандидат наук
Морозов М.М.,ЮФ,ассистент,без степени
Волков В.В.,ФИиВТ,профессор,без степени
Кузнецов К.К.,ГФ,ассистент,доктор наук
Васильева В.В.,ГФ,доцент,без степени
Смирнова А.А.,ЕМФ,старший преподаватель,доктор наук
Петров П.П.,ФИиВТ,ассистент,без степени
Федорова Ф.Ф.,ИЭиУ,профессор,кандидат наук
Сидоров С.С.,ЕМФ,ассистент,кандидат наук
Васильева В.В.,ФИиВТ,старший преподаватель,кандидат наук
Кузнецов К.К.,ФИиВТ,доцент,без степени
